7123,92151606
7124,192599753
7125,76295102
7126,133358190
7127,49884114
7128,54053925
7129,135874585
7130,32504352
7131,32582950
7132,6755341
7133,32023103
7134,36026050
7135,117645759
7136,145930309
7137,93487315
7138,44144242
7139,11894847
7140,112766156
7141,91184692
7142,187865456
7143,8165118
7144,31734225
7145,161164282
7146,137907159
7147,128669532
7148,162469382
7149,340980
7150,147217558
7151,149773124
7152,16546528
7153,171789850
7154,125921218
7155,115449145
7156,41171023
7157,191009048
7158,14796902
7159,19214348
7160,19956357
7161,17725974
7163,24249421
7164,44080225
7165,185368117
7166,18457049
7167,1256779
7168,192183952
7170,108142743
7171,1960195
7172,114967890
7173,3201168
7174,46499297
7175,159932859
7176,59863880
7177,32292620
7178,46517863
7179,32475166
7180,192651922
7181,35255311
7182,48920219
7183,60272585
7184,153316789
7185,3887227
7186,8673292
7187,12435828
7188,36220133
7189,157018263
7190,157797456
7191,49383798
7192,35918015
7193,7958075
7194,159072473
7195,32963149
7196,174021368
7197,49415948
7198,20829482
7199,2000535
7200,677106
7201,171953059
7202,45506475
7203,1609498
7204,117178634
7205,3621744
7206,10007620
7207,175187683
7208,22470665
7209,30738247
7210,27691345
7211,35475736
7212,63575
7213,17068752
7214,23223723
7215,11602529
7216,10812854
7217,159173043
7218,58123109
7219,77618844
7220,162277592
7221,175373925
7222,36248029
7223,106092273
7224,1934305
7225,124452148
7226,87387081
7227,71952653
7228,81741425
7229,109485674
7230,23433314
7231,57015482
7232,29140129
7233,78884288
7234,35924705
7235,68237523
7236,70227947
7237,6105218
7238,28643600
7239,65470827
7240,151852188
7241,88300757
7242,183167275
7243,49741934
7244,48246583
7245,95806609
7246,158436974
7247,52930639
7248,30245042
7249,152329959
7250,83128992
7251,179266517
7252,131782442
7253,172312012
7254,47328364
7255,13171399
7256,40454899
7257,123742456
7258,78355428
7259,53995137
7260,140697714
7261,87876108
7262,11885517
7263,11885789
7264,11886744
7265,36248569
7266,46931979
7267,57645543
7268,40964222
7269,173919320
7270,157324812
7271,67153458
7272,122861790
7273,95549554
7274,42507383
7275,34329188
7276,60050738
7277,11885865
7278,73828888
7279,155931244
7280,138986154
7281,53387544
7282,104156371
7283,57602114
7284,56826522
7285,79402253
7286,11882372
7287,145206047
7288,47393598
7289,69818592
7290,33278870
7291,109484994
7292,144208715
7293,11479426
7294,169061799
7295,169663851
7296,11885967
7297,19823849
7298,11885458
7299,11886612
7300,11882562
7301,68324275
7302,129498278
7303,164897945
7304,79836707
7305,77041824
7306,103737870
7307,11914419
7308,140552904
7309,141505560
7310,54809940
7311,33017843
7312,45016459
7313,50499088
7314,11885679
7315,131904889
7316,82465270
7317,45611234
7318,11220688
7319,60281950
7320,16402734
7321,60250822
